,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_command/x,/cf_command/y,/cf_command/z
1034,1747920705616460368,vicon/world,608798752.0,1747920705.0,0.8858280095745653,60.434535345833545,-1.9939676240591802,0.21386282897450207,1.3931225914710104,0.08247109773716903,,,,,,,,,,,,,,,
1035,1747920705623461895,,,,,,,,,,0.8807312250137329,-60.980064392089844,-1.4055408239364624,0.0,0.0,83.87733459472656,,,,,,,,,
1036,1747920705627774061,vicon/world,619307029.0,1747920705.0,0.8961550716600951,60.33902531940486,-2.0222908339075194,0.2135349886255728,1.3931391152802852,0.0824905364124349,,,,,,,,,,,,,,,
1037,1747920705635750640,,,,,,,,,,,,,,,,0.0,-0.1776093355293975,0.0,0.02355097606778145,0.20890913903713226,-64.3428726196289,,,
1038,1747920705636560981,vicon/world,628368064.0,1747920705.0,0.9478539948636904,60.54606808884826,-2.1359199119581205,0.2132313698551589,1.3930907899435454,0.08254464119428875,,,,,,,,,,,,,,,
1039,1747920705646893701,vicon/world,638469398.0,1747920705.0,0.9712205362526892,60.671578335261124,-2.2140350282306733,0.21291806641581068,1.392983191791793,0.08255711475975229,,,,,,,,,,,,,,,
1040,1747920705657616810,vicon/world,648428761.0,1747920705.0,0.7993754911966603,60.54466553785716,-2.579382828476925,0.21241942652857168,1.3929397265973278,0.08259124480214024,,,,,,,,,,,,,,,
1041,1747920705666990460,vicon/world,658739811.0,1747920705.0,0.5731537803816843,60.481893376318375,-2.6579531836432935,0.21200683635688977,1.3929560687434166,0.08261140483786039,,,,,,,,,,,,,,,
1042,1747920705676907617,vicon/world,669621122.0,1747920705.0,0.6569008042515707,60.52814003834922,-2.822795871144086,0.2114207404109073,1.3929633627628297,0.08259241510563681,,,,,,,,,,,,,,,
1043,1747920705686867540,vicon/world,678465466.0,1747920705.0,0.9106768097169261,60.821520681304925,-2.7328109596518217,0.21081919467156085,1.392993706269129,0.0825441050008356,,,,,,,,,,,,,,,
1044,1747920705696704199,vicon/world,688999091.0,1747920705.0,1.0190882587355357,60.83757379881458,-2.608938896921755,0.21008354816302816,1.392989893750925,0.08265361366680385,,,,,,,,,,,,,,,
1045,1747920705708044262,vicon/world,698912858.0,1747920705.0,0.9319927838676687,60.7155042510709,-2.5667284536264985,0.20926452108146645,1.3930091490579184,0.08258965672490474,,,,,,,,,,,,,,,
1046,1747920705717295062,vicon/world,708428336.0,1747920705.0,0.9657218370187998,60.748895752856804,-2.680280325718171,0.20829100596232306,1.393179613030874,0.08258881297355723,,,,,,,,,,,,,,,
1047,1747920705724451586,,,,,,,,,,1.1755790710449223,-61.66009902954102,-1.767456650733948,0.0,0.0,83.8969497680664,,,,,,,,,
1048,1747920705726937809,vicon/world,719460676.0,1747920705.0,0.6760516503126014,60.59884501993626,-2.5453099695825836,0.2071330268710033,1.3932766079872563,0.08255409099561178,,,,,,,,,,,,,,,
1049,1747920705734364286,,,,,,,,,,,,,,,,0.0,-0.2286333154908345,0.0,0.023935945704579353,0.20886537432670593,-65.0489501953125,,,
1050,1747920705737766109,vicon/world,728545777.0,1747920705.0,0.8105770952378368,61.13587954194327,-2.344468954942866,0.20581870999359897,1.3934868789315051,0.08252718895610442,,,,,,,,,,,,,,,
1051,1747920705746637987,vicon/world,738666549.0,1747920705.0,0.96310217418192,61.27260407119127,-1.9630969033576677,0.20437583603334447,1.3936815143336652,0.08241027793471296,,,,,,,,,,,,,,,
1052,1747920705756302857,vicon/world,748356099.0,1747920705.0,0.7631938126897398,61.11939870855629,-1.727443834198932,0.2028420196774149,1.3939277583879257,0.08228849486368166,,,,,,,,,,,,,,,
1053,1747920705766942594,vicon/world,758524594.0,1747920705.0,0.39412706934256997,61.6218534935393,-1.5531502079790953,0.20148053567959656,1.3942310265573825,0.0823865009686687,,,,,,,,,,,,,,,
1054,1747920705776764543,vicon/world,768528953.0,1747920705.0,0.6387771728379612,61.37713610852656,-0.8032144239477433,0.20006645656406122,1.3944958342190716,0.08235173292293177,,,,,,,,,,,,,,,
1055,1747920705786809864,vicon/world,778531796.0,1747920705.0,0.7383418210868586,61.03346467081598,-0.05639209806845841,0.19863240867333637,1.3947408093355214,0.08258981942745779,,,,,,,,,,,,,,,
1056,1747920705796720241,vicon/world,788459197.0,1747920705.0,0.39363485083634936,61.23622847690169,0.0870373412004702,0.1973284315121992,1.395017376301332,0.08257955878546226,,,,,,,,,,,,,,,
1057,1747920705806459827,vicon/world,798436561.0,1747920705.0,0.7932123172733732,60.74422785448175,1.0415318585433226,0.19579266774035778,1.3951513645464628,0.08241445722821533,,,,,,,,,,,,,,,
1058,1747920705816344522,vicon/world,808554163.0,1747920705.0,0.8064463144513185,60.78485158708333,1.8938654837753852,0.19458248984478427,1.395310228911652,0.08242464530468645,,,,,,,,,,,,,,,
1059,1747920705823875906,,,,,,,,,,0.8425283432006843,-61.70450592041014,2.7891802787780766,0.0,0.0,83.87287139892578,,,,,,,,,
1060,1747920705826401346,vicon/world,818538925.0,1747920705.0,0.4303670268375767,60.742625766016324,2.3944165315522565,0.19329479875090558,1.3954252191406027,0.0824782390801289,,,,,,,,,,,,,,,
1061,1747920705833715165,,,,,,,,,,,,,,,,0.0,-0.15113868515991058,0.0,0.005853167735040188,0.21015094220638275,-65.74456787109375,,,
1062,1747920705836514284,vicon/world,828482190.0,1747920705.0,0.31030852069525794,60.59608053614787,3.1596911618167103,0.1923983501195124,1.3956416123639142,0.08253918735309992,,,,,,,,,,,,,,,
1063,1747920705845210491,vicon/world,838538486.0,1747920705.0,0.7921327954198183,60.09721800689205,3.8483637349497504,0.19150279351347937,1.3958695769295653,0.08262666554269554,,,,,,,,,,,,,,,
1064,1747920705854639102,vicon/world,848395073.0,1747920705.0,0.6929100668860508,59.80179127771632,4.087522401408834,0.19086933342002727,1.396107322673217,0.08260999401205985,,,,,,,,,,,,,,,
1065,1747920705864787130,vicon/world,858473250.0,1747920705.0,0.5152883466280757,59.92038386016567,4.098575844478117,0.19034885503225077,1.3963846234089548,0.08270842303514905,,,,,,,,,,,,,,,
1066,1747920705875126337,vicon/world,868544466.0,1747920705.0,0.38726193267101106,59.55327011841713,4.190109505193889,0.19004186784576263,1.396415952641241,0.08270682877500914,,,,,,,,,,,,,,,
1067,1747920705884916292,vicon/world,878420531.0,1747920705.0,0.419551320618202,59.598887520909884,4.1007497263060015,0.18987794191263171,1.3962531997098697,0.08277216907934673,,,,,,,,,,,,,,,
1068,1747920705895406355,vicon/world,888656631.0,1747920705.0,0.5508748986425739,59.5492250968683,3.9089188761863523,0.18987968264652272,1.3960606253659968,0.08279585775278091,,,,,,,,,,,,,,,
1069,1747920705905419516,vicon/world,898453968.0,1747920705.0,0.6723119398697782,59.43479247432122,4.03993156568795,0.1898884781837775,1.3960144725677905,0.08284650708317803,,,,,,,,,,,,,,,
1070,1747920705915449150,vicon/world,908542998.0,1747920705.0,0.5927458572648978,59.30988745010621,4.005057462062966,0.18979367479457193,1.3959546652650752,0.08291009003074015,,,,,,,,,,,,,,,
1071,1747920705923882847,,,,,,,,,,1.1199114322662347,-60.45562744140625,4.77870798110962,0.0,0.0,83.82222747802734,,,,,,,,,
1072,1747920705925574171,vicon/world,918516306.0,1747920705.0,0.3886644105467506,59.73543828866223,3.8261926567935842,0.18960563021141685,1.3959316409652598,0.08288851451355204,,,,,,,,,,,,,,,
1073,1747920705933619557,,,,,,,,,,,,,,,,0.0,-0.21096082635597152,0.0,0.0006570449913851917,0.21023140847682953,-66.43795776367188,,,
1074,1747920705935674156,vicon/world,928528603.0,1747920705.0,0.6498163148309549,59.994911630435006,3.883039785524044,0.18939191533517416,1.3959233436467746,0.08270997219277079,,,,,,,,,,,,,,,
1075,1747920705945931219,vicon/world,938586951.0,1747920705.0,0.6082915636720407,60.294024481939275,3.827631750373427,0.18900130850011243,1.395884136730258,0.08262961310560332,,,,,,,,,,,,,,,
1076,1747920705956197159,vicon/world,948828522.0,1747920705.0,0.776629913473335,60.48699492251719,3.9081634211806353,0.18866442582130552,1.3957903457637204,0.08247669980498926,,,,,,,,,,,,,,,
1077,1747920705965652568,vicon/world,958655503.0,1747920705.0,1.0722374278709361,60.68923779793715,3.9572977372824796,0.1884138759399329,1.3957751025760063,0.08250311889322358,,,,,,,,,,,,,,,
1078,1747920705975874785,vicon/world,968602310.0,1747920705.0,0.9755918886307217,60.827326517333525,4.083422905346242,0.1880294875319746,1.3958225328672504,0.08257475195121664,,,,,,,,,,,,,,,
1079,1747920705986297370,vicon/world,978687471.0,1747920705.0,0.9933835342545858,60.800454798470824,4.155735981968277,0.1875395820178826,1.3959577719693608,0.08267773137413065,,,,,,,,,,,,,,,
1080,1747920705996064352,vicon/world,988710184.0,1747920705.0,1.056230065663408,62.46422835304003,4.180909450386329,0.18687294635554708,1.3959848690284096,0.08241358274219124,,,,,,,,,,,,,,,
1081,1747920706005730337,vicon/world,998491182.0,1747920705.0,0.8974469150243779,61.27754845917106,4.138621029736487,0.18632468687497275,1.3960028575410568,0.08237668422210342,,,,,,,,,,,,,,,
