,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logerr/roll,/cf_logerr/pitch,/cf_logerr/yaw,/cf_logerr/position.x,/cf_logerr/position.y,/cf_logerr/position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z,/cf_command/x,/cf_command/y,/cf_command/z
36,1747749232008034005,vicon/world,247456.0,1747749232.0,-0.8691432311308249,-1.498252674293462,1.6315599881827947,0.025382855035088383,1.369966338914917,0.04053084010724522,,,,,,,,,,,,,,,,,,,,,
37,1747749232017892551,vicon/world,10275828.0,1747749232.0,-0.6432028861319609,-1.4033072208981732,1.3960780152045673,0.025404606535165148,1.3698556970586426,0.04033146301676285,,,,,,,,,,,,,,,,,,,,,
38,1747749232024056296,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
39,1747749232027576573,vicon/world,20257600.0,1747749232.0,-0.8299563971594937,-1.3152583055789633,1.4808367650772094,0.025367677003507318,1.3698900942608878,0.04051872866481786,,,,,,,,,,,,,,,,,,,,,
40,1747749232037623528,vicon/world,30458362.0,1747749232.0,-0.857631396228616,-1.363779754233224,1.4893037583347581,0.02544763337790694,1.3699025794104456,0.04041927344446159,,,,,,,,,,,,,,,,,,,,,
41,1747749232047804065,vicon/world,40212386.0,1747749232.0,-0.8141184540357541,-1.194152174702075,1.383634287364238,0.025317980526437633,1.3697852587272255,0.040459234355259374,,,,,,,,,,,,,,,,,,,,,
42,1747749232057513683,vicon/world,50192217.0,1747749232.0,-0.9218866257726428,-1.2442755324555725,1.4662639879112713,0.025443040172816376,1.3699360847539586,0.04047381697292775,,,,,,,,,,,,,,,,,,,,,
43,1747749232067989937,vicon/world,60253230.0,1747749232.0,-0.6838654272949206,-1.3420553315675856,1.4283736287804478,0.025306776924689307,1.3697458326773877,0.04041351668688929,,,,,,,,,,,,,,,,,,,,,
44,1747749232071419129,,,,,,,,,,,,,,,,-0.7228927612304686,1.281226158142074,1.4316948652267456,0.0022965623065829277,1.381469964981079,0.02141730859875679,,,,,,,,,
45,1747749232077904720,vicon/world,70239529.0,1747749232.0,-0.6387774978543503,-1.486022779871453,1.4855619597607683,0.025304211479094816,1.3697943237408379,0.040415015203577265,,,,,,,,,,,,,,,,,,,,,
46,1747749232087928416,vicon/world,80239082.0,1747749232.0,-0.6795739961339861,-1.4122636543355456,1.4152982175024138,0.02541058616458207,1.3698814234991805,0.040351855829511715,,,,,,,,,,,,,,,,,,,,,
47,1747749232088353222,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
48,1747749232098020064,vicon/world,90234721.0,1747749232.0,-0.6339856975594669,-1.424729038212721,1.4309083318989653,0.025317614730714155,1.3697889931762413,0.0403837917924818,,,,,,,,,,,,,,,,,,,,,
49,1747749232099891713,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
50,1747749232107487386,vicon/world,100155697.0,1747749232.0,-0.8729464556372676,-1.4140233826531754,1.5672932170614027,0.02537987592982526,1.3698889756115826,0.040550397372618285,,,,,,,,,,,,,,,,,,,,,
51,1747749232117794328,vicon/world,110438487.0,1747749232.0,-0.9013569987940842,-1.382984927836967,1.5518442018407002,0.025448100003603372,1.369977336635948,0.04047746064160284,,,,,,,,,,,,,,,,,,,,,
52,1747749232127820368,vicon/world,120248319.0,1747749232.0,-0.8946133418036105,-1.3371049742494494,1.5462487776725935,0.025472047130451366,1.3699522292914164,0.040461952338421855,,,,,,,,,,,,,,,,,,,,,
53,1747749232137336884,vicon/world,130173419.0,1747749232.0,-0.688239602255346,-1.4279064002402277,1.4677568268770453,0.025300614929599147,1.3697681144666842,0.040416240762804534,,,,,,,,,,,,,,,,,,,,,
54,1747749232147394863,vicon/world,140194078.0,1747749232.0,-0.8325049668959196,-1.2816687129640676,1.4570408232643377,0.025493789881783163,1.369953508321187,0.04047742319691475,,,,,,,,,,,,,,,,,,,,,
55,1747749232157788966,vicon/world,150240403.0,1747749232.0,-0.894218616506902,-1.2738747249799574,1.4350354070520328,0.025462705905314745,1.3699462755213883,0.04045017634047018,,,,,,,,,,,,,,,,,,,,,
56,1747749232167875082,vicon/world,160506716.0,1747749232.0,-0.7983517521142187,-1.2507857843169077,1.4149773674851895,0.02533451948379614,1.369857375874677,0.040498996313044745,,,,,,,,,,,,,,,,,,,,,
57,1747749232176918554,,,,,,,,,,,,,,,,-0.737176358699799,1.2718840837478638,1.4365702867507937,0.001417611725628376,1.381961464881897,0.02008328028023243,,,,,,,,,
58,1747749232177747415,vicon/world,170307085.0,1747749232.0,-0.8128516400902257,-1.201390384536887,1.3661993699174761,0.025329846883812665,1.3697911846261597,0.04046283029291252,,,,,,,,,,,,,,,,,,,,,
59,1747749232184520925,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
60,1747749232187605133,vicon/world,180250569.0,1747749232.0,-0.9337387342526837,-1.4553010925888021,1.6321384033925874,0.025474121211776304,1.3700409295073988,0.040512987372837296,,,,,,,,,,,,,,,,,,,,,
61,1747749232197586620,vicon/world,190247405.0,1747749232.0,-0.6390974505995858,-1.4379421842817623,1.4361741763019804,0.025325764168461568,1.3698107568817923,0.0404057239745069,,,,,,,,,,,,,,,,,,,,,
62,1747749232201372578,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
63,1747749232207825276,vicon/world,200240544.0,1747749232.0,-0.6839372450733416,-1.3845190469851731,1.3995639629347536,0.02526745949639924,1.3697501952414315,0.04040788164318944,,,,,,,,,,,,,,,,,,,,,
64,1747749232217798434,vicon/world,210369854.0,1747749232.0,-0.6720294031614401,-1.4323187626011307,1.4491293231275604,0.02543739414640042,1.3698728525024946,0.040384170826740416,,,,,,,,,,,,,,,,,,,,,
65,1747749232228123895,vicon/world,220541388.0,1747749232.0,-0.8888040690879748,-1.4098816182356861,1.5370127910415667,0.025470965762808852,1.370001075416332,0.0404844860036369,,,,,,,,,,,,,,,,,,,,,
66,1747749232238057213,vicon/world,230229991.0,1747749232.0,-0.8899582136160319,-1.3280165965903037,1.4736903626161697,0.025483223724255277,1.3699717447612922,0.04050511827486254,,,,,,,,,,,,,,,,,,,,,
67,1747749232247816822,vicon/world,240215386.0,1747749232.0,-0.651774933725157,-1.4435256410392887,1.435897271290138,0.0252924904444727,1.369785102334845,0.040419487741972855,,,,,,,,,,,,,,,,,,,,,
68,1747749232257845892,vicon/world,250505876.0,1747749232.0,-0.8205638696609131,-1.227228866647647,1.419933278953039,0.025331963911148756,1.3698038814994775,0.040481412183935715,,,,,,,,,,,,,,,,,,,,,
69,1747749232267360385,vicon/world,260170831.0,1747749232.0,-0.8591413119705679,-1.346319144969865,1.4870544317643977,0.02549001795670247,1.369969608300204,0.04050918292328701,,,,,,,,,,,,,,,,,,,,,
