,time,/vicon/pose/header.frame_id,/vicon/pose/header.stamp.nanosec,/vicon/pose/header.stamp.sec,/vicon/pose/roll,/vicon/pose/pitch,/vicon/pose/yaw,/vicon/pose/pose.position.x,/vicon/pose/pose.position.y,/vicon/pose/pose.position.z,/cf_logpos/roll,/cf_logpos/pitch,/cf_logpos/yaw,/cf_logpos/position.x,/cf_logpos/position.y,/cf_logpos/position.z,/cf_controll/roll,/cf_controll/pitch,/cf_controll/yaw,/cf_controll/position.x,/cf_controll/position.y,/cf_controll/position.z
51,1747917302353710553,,,,,,,,,,-3.0126478672027592,0.3300108611583789,-4.20963478088379,0.0,0.0,85.25897979736328,,,,,,
52,1747917302358123042,,,,,,,,,,,,,,,,0.03311681191770455,0.011240277591132665,3.2484257445211674e-06,0.04696008563041687,0.18516623973846436,-95.97711944580078
53,1747917302360038385,vicon/world,352231796.0,1747917302.0,-1.7461588364045182,2.9448304904139597,-0.42475148874934693,0.21948631824702522,1.2597068535616938,0.09538260187838866,,,,,,,,,,,,
54,1747917302369714479,vicon/world,362285744.0,1747917302.0,-2.061685236638462,2.591373995648395,-0.431005782947973,0.2194455157355394,1.2596386433809803,0.09521118064401411,,,,,,,,,,,,
55,1747917302380925922,vicon/world,372191046.0,1747917302.0,-2.138469916943175,2.6732314169455047,-0.4375405423153954,0.2195241522543391,1.2596249542774083,0.09516363978023577,,,,,,,,,,,,
56,1747917302390458088,vicon/world,382287809.0,1747917302.0,-2.6527597136131265,2.312601115869949,-0.4725872088679166,0.21950654814938972,1.2596604029695109,0.09490410837718015,,,,,,,,,,,,
57,1747917302400033500,vicon/world,392955280.0,1747917302.0,-2.521933198310766,2.4205645435298044,-0.4451866006869488,0.21945059350462492,1.2597329724048592,0.09493181050794307,,,,,,,,,,,,
58,1747917302410252563,vicon/world,402165011.0,1747917302.0,-2.955765534710656,2.189376762643024,-0.5086380897788393,0.21955661907119622,1.259628237332208,0.09470313380574973,,,,,,,,,,,,
59,1747917302419538376,vicon/world,412065481.0,1747917302.0,-3.1373556723992064,2.160171445332496,-0.4765920938683008,0.21947333347435508,1.259695763602286,0.09472735315430685,,,,,,,,,,,,
60,1747917302430328174,vicon/world,423060329.0,1747917302.0,-3.3519621512660867,2.2856480568080553,-0.5329383644303588,0.21947341179825433,1.259740160304745,0.09480064351525623,,,,,,,,,,,,
61,1747917302440540242,vicon/world,432147132.0,1747917302.0,-3.4884177386881894,2.2883757035445957,-0.5217655300402655,0.21953709255770754,1.2597247712148982,0.09487384799334399,,,,,,,,,,,,
62,1747917302449914029,vicon/world,443181000.0,1747917302.0,-3.660224046830649,2.330094207202983,-0.5408807199811654,0.21947566476611666,1.2597320449631215,0.09492627501584708,,,,,,,,,,,,
63,1747917302454997481,,,,,,,,,,-4.453198432922363,0.33130887150765465,-4.216279029846192,0.0,0.0,85.29051971435547,,,,,,
64,1747917302459272539,,,,,,,,,,,,,,,,0.04464024390341792,0.01446461583513353,5.634830527042108e-06,0.046996746212244034,0.185156911611557,-96.6994857788086
65,1747917302461449130,vicon/world,452758214.0,1747917302.0,-3.705145390498691,2.487115871330298,-0.5931322001833393,0.21948880340561588,1.259724147680513,0.09498539720100783,,,,,,,,,,,,
66,1747917302470090622,vicon/world,461989524.0,1747917302.0,-3.8425388946395227,2.420690723930906,-0.536403138538029,0.21953313730446747,1.2598021729904851,0.09497919364915655,,,,,,,,,,,,
67,1747917302479861162,vicon/world,473165702.0,1747917302.0,-3.922233808034479,2.4515133632631634,-0.5540192446073046,0.21952311358522625,1.2597482990158222,0.09500657478507955,,,,,,,,,,,,
68,1747917302490598080,vicon/world,482404332.0,1747917302.0,-3.841724191016357,2.4020910418722456,-0.5903497249496389,0.21950624524310264,1.2597405229954035,0.09498774228925634,,,,,,,,,,,,
69,1747917302499949877,vicon/world,492094292.0,1747917302.0,-3.8014829731161894,2.304212152507773,-0.5526931082030384,0.2194947365362588,1.2597648005473003,0.09495460244837377,,,,,,,,,,,,
70,1747917302510973993,vicon/world,503233364.0,1747917302.0,-3.6233304924040604,2.302525444778684,-0.5508317825216948,0.2194822755891256,1.2597146598318922,0.09488804759440156,,,,,,,,,,,,
71,1747917302520541900,vicon/world,511991038.0,1747917302.0,-3.4412668838002944,2.292762761784578,-0.5395829501592575,0.21947275034426855,1.2596494115621477,0.09482895101177331,,,,,,,,,,,,
72,1747917302530019924,vicon/world,523241665.0,1747917302.0,-3.241657123246229,2.3238305615793062,-0.5455681718134155,0.21947873649199165,1.2596348629250123,0.0948339775169337,,,,,,,,,,,,
73,1747917302541148431,vicon/world,532135504.0,1747917302.0,-3.0174369568358386,2.401913015170404,-0.5528569870103944,0.21949539673654891,1.259615798966713,0.0948032157571124,,,,,,,,,,,,
